emotionlist,names,,,
Furious,Dana,,,
Annoyed,Caroline,,,
Disappointed,Nancy,,,
Disgusted,Adele,,,
Apprehensive,Maya,,,
Embarrassed,Leah,,,
Devastated,Hilary,,,
Guilty,Liz,,,
Lonely,Julia,,,
Terrified,Suzanne,,,
Content,Tanya,,,
Grateful,Rachel,,,
Hopeful,Kim,,,
Impressed,Francesca,,,
Joyful,Rebecca,,,
Nostalgic,Melissa,,,
Proud,Sarah,,,
Surprised,Alison,,,
Jealous,Jennifer,,,
Excited,Amanda,,,
,Emily,,,
,Georgia,,,
,Laurie,,,
,Ellyn,,,
,Chelsey,,,
,Alana,,,
,Rose,,,
,Renee,,,
,Addie,,,
,Celia,,,
,Isabel,,,
,Holly,,,
,Lucia,,,
,Loretta,,,
,Robin,,,
,Lisa,,,
,Charlize,,,
,Chloe,,,
,Andrea,,,
,Cora,,,
,Crystal,,,
,Daphne,,,
,Darlene,,,
,Jena,,,
,Jacqueline,,,
,Marianne,,,
,Shannon,,,
,Mariam,,,
,Dani,,,
,Shauna,,,
,Karly,,,
,Maggie,,,
,Skye,,,
,Bria,,,
,Felicia,,,
,Olivia,,,
,Trina,,,
,Katie,,,
,Tiffany,,,
,Esther,,,
,Betty,,,
,Brianna,,,
,Kellie,,,
,Grace,,,
,Phoebe,,,
,Zana,,,
,Carrie,,,
,Hannah,,,
,Gwen,,,
,Lexi,,,
,Hazel,,,
,Rania,,,
,Haley,,,
,Cassandra,,,
,Patty,,,
,Raquel,,,
,Cassie,,,
,Faith,,,
,Kiley,,,
,Odele,,,
,Trish,,,
,Theresa,,,
,Nell,,,
,Naomi,,,
,Kendra,,,
,Lottie,,,
,Sheena,,,
,Michelle,,,
,Gina,,,
,Lindsey,,,
,Wendy,,,
,Dana,,,
,Caroline,,,
,Nancy,,,
,Adele,,,
,Maya,,,
,Leah,,,
,Hilary,,,
,Liz,,,
,Julia,,,
,Suzanne,,,
,Tanya,,,
,Rachel,,,
,Kim,,,
,Francesca,,,
,Rebecca,,,
,Melissa,,,
,Sarah,,,
,Alison,,,
,Jennifer,,,
,Amanda,,,
,Emily,,,
,Georgia,,,
,Laurie,,,
,Ellyn,,,
,Chelsey,,,
,Alana,,,
,Rose,,,
,Renee,,,
,Addie,,,
,Celia,,,
,Isabel,,,
,Holly,,,
,Lucia,,,
,Loretta,,,
,Robin,,,
,Lisa,,,
,Charlize,,,
,Chloe,,,
,Andrea,,,
,Cora,,,
,Crystal,,,
,Daphne,,,
,Darlene,,,
,Jena,,,
,Jacqueline,,,
,Marianne,,,
,Shannon,,,
,Mariam,,,
,Dani,,,
,Shauna,,,
,Karly,,,
,Maggie,,,
,Skye,,,
,Bria,,,
,Felicia,,,
,Olivia,,,
,Trina,,,
,Katie,,,
,Tiffany,,,
,Esther,,,
,Betty,,,
,Brianna,,,
,Kellie,,,
,Grace,,,
,Phoebe,,,
,Zana,,,
,Carrie,,,
,Hannah,,,
,Gwen,,,
,Lexi,,,
,Hazel,,,
,Rania,,,
,Haley,,,
,Cassandra,,,
,Patty,,,
,Raquel,,,
,Dana,,,
,Caroline,,,
,Nancy,,,
,Adele,,,
,Maya,,,
,Leah,,,
,Hilary,,,
,Liz,,,
,Julia,,,
,Suzanne,,,
,Tanya,,,
,Rachel,,,
,Kim,,,
,Francesca,,,
,Rebecca,,,
,Melissa,,,
,Sarah,,,
,Alison,,,
,Jennifer,,,
,Amanda,,,
,Emily,,,
,Georgia,,,
,Laurie,,,
,Ellyn,,,
,Chelsey,,,
,Alana,,,
,Rose,,,
,Renee,,,
,Addie,,,
,Celia,,,
,Isabel,,,
,Holly,,,
,Lucia,,,
,Loretta,,,
,Robin,,,
,Lisa,,,
,Charlize,,,
,Chloe,,,
,Andrea,,,
,Cora,,,
,Crystal,,,
,Daphne,,,
,Darlene,,,
,Jena,,,
,Jacqueline,,,
,Marianne,,,
,Shannon,,,
,Mariam,,,
,Dani,,,
,Shauna,,,
,Karly,,,
,Maggie,,,
,Skye,,,
,Bria,,,
,Felicia,,,
,Olivia,,,
,Trina,,,
,Katie,,,
,Tiffany,,,
,Esther,,,
,Betty,,,
,Brianna,,,
,Kellie,,,
,Grace,,,
,Phoebe,,,
,Zana,,,
,Carrie,,,
,Hannah,,,
,Gwen,,,
,Lexi,,,
,Hazel,,,
,Rania,,,
,Haley,,,
,Cassandra,,,
,Patty,,,
,Raquel,,,
,Cassie,,,
,Faith,,,
,Kiley,,,
,Odele,,,
,Trish,,,
,Theresa,,,
,Nell,,,
,Naomi,,,
,Kendra,,,
,Lottie,,,
,Sheena,,,
,Michelle,,,
,Gina,,,
,Lindsey,,,
,Wendy,,,
,Samantha,,,
